ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
54	cosine	24.0	8.0	18.0	172.04030828340638	31.01490298820564	56.0	94.0	225.957366113	104.559188156	121.398177957	2.16104744211	1.26935506627	0.3161957034485937	0.015206079032130337	1.003601216120602	0.34565434565434566	0.3238892960706617	0.6352822359880325
55	cosine	24.0	0.0	20.0	1474.50020890263	127.08696088009644	84.0	92.0	1793.48564782	1242.49742957	550.9882182590001	1.4434521997	1.1466673348899998	0.5709808285324411	4.635034956262586e-05	0.003059123071133307	0.001998001998001998	0.001998001998001998	0.01981523631008167
56	cosine	24.0	8.0	14.0	319.24933744038805	51.40092371080503	80.0	62.0	436.678721369	223.48520568599997	213.193515683	1.9539491217299998	1.23241534314	0.36632248521988187	0.006073423898817913	0.40084597732198224	0.16383616383616384	0.16383616383616384	0.4428214966360633
57	cosine	24.0	2.0	4.0	878.7659559663416	113.51965241938814	56.0	94.0	1079.4229324	618.49885764	460.924074755	1.7452302766	1.23031628547	0.1328558013140517	0.1815344721808798	11.981275163938069	0.991008991008991	0.9877341731702428	0.9917786888532362
58	cosine	24.0	8.0	16.0	55.39082388821771	12.52616582196632	56.0	88.0	86.9693676197	39.798619288400005	47.1707483312	2.185235799	1.4411906321799999	0.5908744281477326	2.614646528035989e-05	0.0017256667085037527	0.0017256667085037527	0.0017256667085037527	0.01981523631008167
59	cosine	24.0	16.0	12.0	1079.57663426273	87.69125384829205	92.0	60.0	1319.47593501	951.234725993	368.241209015	1.387119182	1.08227250027	0.3192794918866443	0.014415405628774804	0.9514167714991372	0.33766233766233766	0.31187375683217633	0.6208680679629414
60	cosine	24.0	6.0	16.0	334.34255831782457	35.980170908009185	78.0	88.0	434.775644128	281.346597744	153.429046384	1.54533819713	1.13094948647	0.4367332729787589	0.0013954236360342212	0.0920979599782586	0.053946053946053944	0.05127041300307661	0.22817192968966082
61	cosine	24.0	8.0	20.0	23.778917933761864	4.435168921419879	56.0	94.0	39.7727707674	13.663464299200001	26.109306468200003	2.91088481636	1.1053395490200002	0.4881136580350834	0.00041643484707299815	0.027484699906817883	0.011988011988011988	0.011988011988011988	0.07747911003724957
62	cosine	24.0	22.0	0.0	1561.2797727733962	127.3553087475007	94.0	50.0	1803.59688897	1334.64136834	468.955520625	1.35137193537	1.09587247078	0.224708584132122	0.061980510213017925	4.090713674059184	0.7472527472527473	0.7472527472527473	0.8553123610784237
63	cosine	24.0	0.0	18.0	350.93816231892305	64.44945773366715	76.0	90.0	486.005884915	191.303732833	294.702152083	2.5404934745400003	1.21247242767	0.4604684101068074	0.0008097444212506255	0.05344313180254128	0.029970029970029972	0.029970029970029972	0.1576799305028165
64	cosine	24.0	14.0	6.0	692.8048959362932	70.49719092462422	66.0	76.0	872.9006382069999	571.2501278469999	301.650510359	1.52805329164	1.15031038567	0.4734335480189907	0.0005952777123053526	0.03928832901215326	0.01998001998001998	0.01998001998001998	0.11584150666209081
65	cosine	24.0	6.0	14.0	118.724969248501	19.10033652746377	70.0	90.0	164.365703975	77.6854726182	86.6802313567	2.1157843086400003	1.26526775751	0.42205316296266615	0.001929997364708132	0.1273798260707367	0.07292707292707293	0.06648170026002446	0.2657932180738263
66	cosine	24.0	18.0	20.0	764.963569130657	108.27628176867815	56.0	94.0	923.659213718	497.95709167800004	425.702122041	1.85489719728	1.1689048403	0.5905064195547414	2.6429092612036513e-05	0.0017443201123944095	0.0017443201123944095	0.0017443201123944095	0.01981523631008167
67	cosine	24.0	18.0	16.0	1272.0561161833916	146.5136028481284	92.0	62.0	1638.52366791	1041.37537921	597.148288699	1.57342270676	1.16627397051	0.3586693421794159	0.0070353044355588755	0.4643300927468858	0.18581418581418582	0.18353031917613138	0.4720753129610652
68	cosine	24.0	20.0	6.0	659.8647151648088	98.8502845514437	92.0	76.0	901.134471723	458.541569894	442.592901829	1.96521870838	1.19871238166	0.6080953254650039	1.570262163376962e-05	0.001036373027828795	0.000999000999000999	0.000999000999000999	0.016635827554602522
69	cosine	24.0	20.0	18.0	877.9802163616209	74.91969901309692	92.0	62.0	1064.21916804	788.261892968	275.957275067	1.35008323697	1.12595449241	0.35430385173284484	0.007642194440630213	0.504384833081594	0.2047952047952048	0.19544422897940453	0.488703639103211
70	cosine	24.0	12.0	10.0	285.90372716872895	47.60348173191287	84.0	94.0	366.75844845	168.3219956	198.43645285	2.17890981593	1.2384094023299999	0.24356896907576145	0.047709814189843165	3.1488477365296483	0.6533466533466533	0.6533466533466533	0.8059531709166745
71	cosine	24.0	12.0	22.0	197.45807483529373	34.83280674172381	76.0	90.0	285.526097786	142.624073415	142.902024371	2.00194883619	1.14879294858	0.42205316296266615	0.001929997364708132	0.1273798260707367	0.07292707292707293	0.06648170026002446	0.2657932180738263
72	cosine	24.0	8.0	14.0	234.73232323192425	35.345335140200994	56.0	64.0	319.588666697	165.270074358	154.318592339	1.93373584382	1.21267217628	0.4469134319682559	0.0011082524137469671	0.07314465930729983	0.04095904095904096	0.04095904095904096	0.19550907108159016
73	cosine	24.0	18.0	20.0	56.06974230915115	11.709551979547848	56.0	76.0	92.1838305518	37.056926297	55.126904254799996	2.48762754398	1.29602044886	0.3616851819772791	0.006641277563050664	0.4383243191613438	0.17782217782217782	0.17562637146928284	0.45986348268239063
74	cosine	24.0	20.0	8.0	1130.2731585138456	163.77710593644605	92.0	56.0	1675.54976775	904.286110382	771.263657365	1.8528978257099997	1.21123241077	0.3266324478580633	0.012671607032707451	0.8363260641586918	0.30569430569430567	0.2843499131263038	0.5883672088438421
75	cosine	24.0	4.0	14.0	3485.0193932535162	292.52397903657794	76.0	90.0	3966.74045693	2783.47120142	1183.26925551	1.4251056216799998	1.09897794997	0.41180923783575	0.0024067837772616878	0.15884772929927138	0.08591408591408592	0.07928909551599371	0.2964487900523914
