"","pVal","phase","peak.shape","period","qvalue"
"422",0.489031046905403,22,18,24,0.97478837625103
"423",0.00921595289150721,22,10,26,0.0482641151010005
"424",0.191890617721554,24,20,28,0.485884605228945
"425",6.23540391877488e-09,6,16,24,8.85024069705321e-07
"426",3.35275321679144e-05,6,8,20,0.000684005411569229
"427",1,10,10,20,1
"428",0.975469586081113,4,8,20,1
"429",0.0003569837957447,20,8,24,0.00417237322390955
"430",0.13594006315299,6,12,26,0.374959512525648
"431",0.299691538480598,4,12,22,0.683931091284373
"432",0.0855552848239879,4,16,28,0.266224033841451
"433",0.000825900098976843,6,12,28,0.00781293996808199
"434",0.0992110875400797,22,14,26,0.296755288394221
"435",0.283177384692093,18,8,24,0.652915997964475
"436",0.536454790712955,10,6,20,1
"437",0.00355629169850463,18,6,24,0.0236443296020728
"438",0.965956973708915,2,6,20,1
"439",0.0529691059487783,22,16,26,0.184687719459568
"440",0.00215592159186268,18,12,20,0.016203098213843
"441",0.900137920740792,2,6,20,1
"442",0.0198848456525273,20,12,26,0.0880282760107989
"443",0.857599529924922,2,16,28,1
"444",0.000227037950414661,14,10,20,0.00299192477121786
"445",0.0493746889287513,20,12,24,0.174934581182595
"446",0.00164535705882915,6,10,28,0.0130646573826777
"447",0.0522374133129019,24,20,28,0.182787098738431
"448",0.888400466725093,2,10,22,1
"449",0.129549658003613,8,12,28,0.361156491973515
"450",0.705292610065461,8,10,20,1
"451",1,6,12,22,1
"452",0.627758467541196,18,8,28,1
"453",0.397987323476488,2,16,26,0.839160367793223
"454",0.0563612779191146,4,6,24,0.193191392695388
"455",1,6,12,24,1
"456",0.10738001772479,12,8,22,0.314545729595133
"457",3.28360031863276e-05,8,10,26,0.000672090107771215
"458",0.0825083979320038,22,18,28,0.259339965407812
"459",0.97536645170583,10,14,24,1
"460",2.97840537199669e-09,6,12,26,5.4776378797339e-07
"461",0.000341181520835469,16,14,28,0.00404821261818631
"462",0.569708065745983,18,14,20,1
"463",0.61078590109699,10,12,24,1
"464",0.555325177118542,18,6,20,1
"465",0.227272465368505,6,10,28,0.550827413158629
"466",0.0113753104177695,20,6,20,0.0569266234832434
"467",0.161041121104281,14,8,24,0.426600351732713
"468",0.953235596885372,2,20,26,1
"469",0.00911679370479482,16,12,28,0.0478449945749744
"470",0.310371505271522,8,10,28,0.702262326598241
"471",0.523865289876677,12,8,20,1
"472",6.71997010823953e-05,6,6,20,0.00117373380747266
"473",0.539825146415851,6,10,24,1
"474",0.223234610305945,10,10,20,0.545481054413082
"475",7.71632078271239e-05,24,20,28,0.00131114548517121
"476",0.0145284865339388,24,8,26,0.068956248617536
"477",0.0229968917878188,2,14,22,0.0981335741863383
"478",3.17009671668297e-10,26,16,26,1.13272084396678e-07
"479",0.0140479307508571,10,14,24,0.0673374557187498
"480",0.00515106764634283,6,12,28,0.0310155281584802
"481",0.999999999999896,8,18,26,1
"482",0.00379822623689209,20,16,24,0.0247657024601525
"483",0.62541025122382,4,10,20,1
"484",0.999999983690595,4,14,26,1
"485",0.112450123896865,24,14,26,0.325909907173625
"486",0.0826287728937071,24,20,28,0.259571824619116
"487",0.964993311308772,10,10,24,1
"488",0.811809356039775,18,8,20,1
"489",0.00105569972484137,6,8,22,0.00941025000631942
"490",4.84631964298209e-05,4,10,20,0.000905950275861496
"491",0.261050134525332,12,10,20,0.612168194707256
"492",0.962666188920536,26,8,28,1
"493",0.141679713822405,24,6,24,0.3873735245
"494",0.608527435824178,18,12,20,1
"495",0.0226054836718662,16,18,24,0.0967502323067622
"496",0.0169286433839184,22,16,28,0.0778916902719956
"497",0.418275323445211,12,14,22,0.871389504415427
"498",0.0158328603556669,10,12,22,0.0739931807204673
"499",0.10505521219622,14,12,22,0.309936419845701
"500",0.143007213575325,18,16,28,0.390235263576917
"501",0.455881492214755,10,12,20,0.926567860183104
"502",0.0656776260488817,22,20,26,0.218215831925429
"503",0.00497220901448435,22,14,24,0.030220849464891
"504",0.0208303450845319,24,20,28,0.0912769080683799
"505",0.661593736055867,22,16,24,1
"506",0.00072628337610248,18,12,20,0.0070904761136125
"507",1,14,12,26,1
"508",0.715301068524475,10,14,24,1
"509",0.00137532107481053,2,14,24,0.0113454918626695
"510",1,28,12,28,1
"511",0.117794726958258,4,12,28,0.337566648794679
"512",0.12500265602697,18,6,22,0.352072579307713
"513",0.0329696931078111,20,10,22,0.129253599375011
"514",0.00275918941532739,20,12,26,0.0193421652623791
"515",0.0876829491798206,20,12,26,0.271023965013059
"516",0.00521457633581938,24,6,24,0.0313225224091052
"517",0.00111736405792137,10,6,24,0.00975820873489154
"518",0.00211818326245528,10,14,28,0.0160448212478896
"519",0.935774161624715,24,16,28,1
